TARGET_deathRate,avgAnnCount,avgDeathsPerYear,incidenceRate,popEst2015,povertyPercent,studyPerCap,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctHS25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPublicCoverage,PctMarriedHouseholds,BirthRate
188.3,55,26,398.9,11339,12.6,0,45.2,44.9,45.5,Pacific Region,2.49,54.4,29.2,51.5,8.3,64.4,52.94771969,4.805591962
165.3,3438,1118,493.4,772501,9.9,138.5111476,37.6,36.6,38.7,Pacific Region,2.68,52.1,24.3,62.1,7.5,73.3,52.72049671,4.729251068
171,2265,901,440.7,490945,16.3,462.3735856,37.2,35.7,38.7,Pacific Region,2.45,49.4,25.7,55.1,8.4,65.2,48.18837711,5.355835918
174.2,251,106,423.8,43791,19.3,0,46.2,45.6,46.8,Pacific Region,2.44,57.2,34.4,46.3,9.4,58.3,55.21239889,3.631082062
169.9,1390,483,495.9,269536,11.9,207.7644545,38.5,37.1,39.9,Pacific Region,2.52,52.4,22.7,56.5,8.5,74.5,50.87449211,5.180155167
153.8,32,12,463.2,4042,13.9,0,52.1,51.5,53.1,Pacific Region,2.31,53.5,33.1,35.7,10.6,64.7,53.37995338,0.535475234
162.8,305,120,442.5,60338,15.7,464.0525042,36.9,35.5,39.1,Pacific Region,2.5,46.5,22.6,54.5,6.4,65.7,49.3270649,4.138710893
163.3,1081,367,490.9,212284,15.7,249.6655424,36.5,35.6,37.5,Pacific Region,2.53,47.5,23,57.8,8.2,68.7,48.06875024,4.4729858
140.8,134,50,390.5,48177,28.4,0,24.2,24.4,23.9,Pacific Region,2.31,36.1,17.4,53.4,8.8,78.3,40.55405483,3.304159034
169.4,958,403,411,248830,20.5,301.4106016,32.5,31.6,33.6,Pacific Region,3.05,48.6,27.8,56,9,54.6,50.66898414,6.560611666
189.7,94,41,445.2,16704,21.5,0,41.5,40.9,42.1,Mid-Atlantic Region,2.68,52,47.1,46.5,9,55.6,55.28885946,2.292860865
206.1,499,215,463.1,111901,13.2,89.3647063,38.4,38,38.6,Mid-Atlantic Region,0.0263,51.8,38.2,58.7,9.7,70,51.52350516,4.872468117
236.7,152,70,501.8,23372,22.1,0,41.9,41.2,43.2,Mid-Atlantic Region,2.5,55.2,49.4,39.5,9.2,60.2,53.06378967,4.220287661
196.3,80,40,396.6,14415,22.2,0,44.5,43.7,45.3,Mid-Atlantic Region,2.51,52.4,49.1,44.3,14.4,56.1,53.27269485,5.469020422
186.2,164,69,481.6,23350,15.1,0,45.9,44.1,48,Mid-Atlantic Region,2.26,50.3,43.7,51.9,6.4,68.3,47.58723829,4.970530452
194,564,237,483.4,96844,21.9,330.4283177,38.5,36.9,39.9,Mid-Atlantic Region,2.32,43,31.9,50.3,6.8,63.3,40.76501639,4.521925134
226.5,50,25,459.9,7470,21.8,0,47,47.6,46.5,Mid-Atlantic Region,2.44,55.7,48.9,39.9,18.1,52.4,53.33333333,4.780114723
212.9,70,26,591,8910,25.1,4938.271605,43.3,43.4,43.3,Mid-Atlantic Region,2.62,55.8,49.1,39.6,12.3,48.7,58.09248555,8.753056235
185.6,25,19,234,8176,17.4,0,43.7,41.8,45.5,Mid-Atlantic Region,2.85,45.8,44.3,41,6.5,55.2,53.92670157,6.016466118
217,280,137,457,44997,21.4,0,43.2,42,45.1,Mid-Atlantic Region,2.47,50.9,44.4,42.6,9.2,53.4,49.88397759,6.526136485
209.9,45,21,463.1,8518,28.9,0,38.4,37.4,41.2,Mid-Atlantic Region,2.4,43.2,36.6,37.1,9.4,61.3,52.58746356,2.328431373
128,58,22,356.3,11766,17,0,45.6,45.5,45.7,Mid-Atlantic Region,0.028,50.5,50.2,51.3,6.7,65.1,55.4011976,3.528435035
195.1,250,103,494.9,35516,21.1,0,45.3,44.6,46.7,Mid-Atlantic Region,2.28,52.2,44,48.2,7.2,61.9,47.48027903,4.354354354
212.1,145,66,475.1,23353,21.2,0,44.6,44,45.1,Mid-Atlantic Region,2.25,38.7,50,46,8.1,50.5,33.68648224,2.28320067
184.1,218,85,495,29815,12.9,0,45.6,44.1,47.9,Mid-Atlantic Region,2.32,51.8,42.8,53.2,7.2,69.5,48.44113541,5.693029274
153,68,29,374.9,13852,15.3,0,44.5,44.2,45,Mid-Atlantic Region,2.69,50.1,47.7,53.7,7.9,65.8,51.41582622,2.955003358
206.7,449,192,506.6,68714,13.9,160.0838257,42,40.5,43.5,Mid-Atlantic Region,2.48,52.4,39.5,53,7.4,64,49.69820377,5.060383303
194.2,182,78,475.8,29237,16.7,0,42.6,41.2,44.1,Mid-Atlantic Region,2.62,54.5,41.1,46.8,6.8,66.9,55.45062062,4.735242361
178.2,245,101,423.7,56482,10.2,0,39.7,39.9,39.3,Mid-Atlantic Region,2.65,53.3,32.1,60.3,8.4,73.3,54.09965078,4.995519713
205.4,1285,539,508.7,188332,16.8,191.1517958,42.8,40.9,44.3,Mid-Atlantic Region,2.28,47.9,37.3,54.1,7,66,43.74346505,4.091266719
218.4,124,50,553,16448,20,0,43.3,42.2,44.7,Mid-Atlantic Region,2.48,50.6,49.7,47.1,7.2,56.4,49.87741342,4.374100719
226.9,139,60,513.2,21415,24.4,46.69624095,41.9,41.4,42.8,Mid-Atlantic Region,2.69,50.6,43.4,42.2,10.1,51.7,52.9271954,2.635983264
240.1,245,113,523.9,34707,20.2,28.81263146,42.6,41.5,44.1,Mid-Atlantic Region,2.5,53.1,41.6,40.5,10.9,56.1,52.33924375,4.195713917
234.8,137,70,457.1,19835,34.9,0,44.1,41.5,46.5,Mid-Atlantic Region,2.39,46,43.9,27,13.3,39.7,44.26650367,3.860072376
188.8,373,144,510.9,56925,17.9,0,41.1,39.7,42.7,Mid-Atlantic Region,2.47,51,40.9,54.1,4.9,67.6,49.46399182,5.113459745
184.6,208,87,456.3,31978,15.2,0,44.3,42.9,46.5,Mid-Atlantic Region,2.36,57.7,45.1,50.9,7,70.3,55.3172673,3.174132305
209.5,168,78,463.4,27037,20.6,1146.576913,43,42.3,44.1,Mid-Atlantic Region,2.44,51.6,47.5,41.2,10.3,59.6,50.71046319,3.66910141
210,418,184,493.8,61164,20.5,81.74743313,42.3,40.6,43.7,Mid-Atlantic Region,2.39,50.6,37.9,46.6,5.1,56.4,48.3713803,4.807972069
198.4,170,76,456.6,27451,16.1,0,43.2,42.1,44.4,Mid-Atlantic Region,2.4,44.2,50.2,47,8.8,58.6,42.97381269,7.391231312
240.8,163,76,507,25292,28.1,0,41.7,40.4,42.7,Mid-Atlantic Region,2.38,55.6,41,38.1,14.1,51.6,52.14865363,2.796024928
155.9,382,132,444.5,104236,22.5,95.9361449,30,28.5,31.3,Mid-Atlantic Region,2.56,37.2,29.9,55.4,5.8,76.5,40.42122317,4.001671717
190.7,86,39,434.6,13506,19.3,0,46.6,45.4,48.3,Mid-Atlantic Region,2.3,56.8,49.4,48,7.3,60.5,53.16042597,6.07651913
209.7,105,52,425.4,17524,13,0,46.1,45.8,46.6,Mid-Atlantic Region,2.36,47.7,41.2,49.3,12.3,63.7,45.14153511,4.090035685
199.8,160,72,455.5,25594,19.6,0,43.4,42.3,44.7,Mid-Atlantic Region,2.39,57.9,48,46.5,8.4,61.6,55.74302401,3.346456693
184.4,308,123,500.9,43066,18.4,301.8622579,43.3,41.3,45.1,Mid-Atlantic Region,2.24,45.2,34.5,56,5.5,70.9,42.92698827,3.257226644
139.8,45,19,381.8,7229,16.7,0,49.1,47.4,50.3,Mid-Atlantic Region,2.35,55.3,46,45.4,4.9,59.8,54.86268174,7.611940299
213.3,45,21,458.9,7674,16.5,0,43.6,42,45.6,Mid-Atlantic Region,2.43,55,50.1,45.6,8.2,71.6,56.79225717,2.966381015
176.8,50,23,384.8,8607,17.6,0,48.4,47.9,49,Mid-Atlantic Region,2.24,56.4,47.4,50.7,5.7,60,53.27803051,4.256631709
169.8,183,73,435.3,33940,17.6,0,42.3,40.4,43.5,Mid-Atlantic Region,2.52,53.3,46.4,49.5,7,63.5,56.80724824,4.038301415
171.5,328,114,497.2,56848,10,211.0892204,41,40.4,41.6,Mid-Atlantic Region,2.6,57.4,37.8,57.7,3.7,73.6,58.72299258,6.034482759
198.2,482,206,469.6,77510,17.7,12.90156109,41.6,40,43.4,Mid-Atlantic Region,2.4,51.3,39.5,45.5,6.6,60.6,49.67065294,3.77850558
168.6,161,68,405.2,29126,20.8,0,43.2,41.7,45.1,Mid-Atlantic Region,2.35,52.2,46.3,48.7,6.7,59.6,51.97613076,4.231027535
214.7,72,32,502,9982,17.7,0,45.2,45.1,45.3,Mid-Atlantic Region,2.56,49.5,47.9,44.8,10.6,57.4,49.74632166,6.267539757
204,89,41,449.2,14435,23.1,0,44.2,43.2,45,Mid-Atlantic Region,2.48,53.9,46.5,41.3,8.9,51.6,52.19686649,2.353331124
170.4,76,36,377.1,13239,25.8,0,46.3,46.9,46,Mid-Atlantic Region,2.22,53.5,40.5,42.2,10,60.2,50.44770774,3.812668868
172.2,87,39,400.9,16912,16.8,0,43,41.6,44.5,Mid-Atlantic Region,2.45,52.3,43.6,48.9,9.5,63.7,52.0647653,6.801152738
168.1,56,19,528.4,6966,17.1,0,47.7,47,48.4,Mid-Atlantic Region,2.26,60.5,52.7,51.7,7.6,68,56.87707641,3.868613139
199.1,61,27,468.3,8975,15.8,0,46.2,45.6,46.9,Mid-Atlantic Region,2.48,53.5,49.2,44.1,10.9,62.3,52.40597345,1.988950276
189.5,142,60,453.7,24758,19.7,0,41.8,41.2,42.5,Mid-Atlantic Region,2.57,51.5,48.4,48.2,8,59.7,53.55768173,5.300938708
183.8,236,102,433.2,40971,20,24.40750775,42.5,41.3,43.5,Mid-Atlantic Region,2.47,48.9,40.9,43.3,9.9,54.6,47.52860823,4.112005292
259.5,65,33,511.9,8755,26.1,114.2204455,46.3,45.5,46.6,Mid-Atlantic Region,2.28,54.1,43,40.2,14.8,45.1,48.72652431,4.203539823
202.6,120,50,514.6,15816,18.5,0,46,44.6,47.2,Mid-Atlantic Region,2.46,51.4,48.7,41.7,8.1,63.5,51.70881226,6.161137441
185.8,35,14,455.3,5880,20.3,0,45,45.4,44,Mid-Atlantic Region,2.4,52.2,47.6,47.9,8.4,61.6,51.76954733,5.968928863
185.5,554,217,488.8,86452,17.2,173.5066858,42.5,41.1,44,Mid-Atlantic Region,2.37,51.1,38.1,52.4,8.6,63,47.88351017,6.23870268
235.4,134,69,447.8,22151,22.8,0,42.8,41.5,44.2,Mid-Atlantic Region,2.48,55.7,46,34.6,10.1,54.6,54.03848244,6.018614271
206,164,73,467.9,20148,17.8,0,51.4,49.7,53.3,The East North Central Region,2.47,50.9,43.7,42.2,10.1,63.9,54.12278449,3.861129137
217.5,90,45,451.5,15843,14.9,0,42.2,40.8,42.8,The East North Central Region,2.29,45.9,35,58.2,7.9,62.7,42.79547484,6.460336538
168.4,254,112,412.1,45563,13.7,1097.381647,43.9,42,45.6,The East North Central Region,2.35,55.8,39.8,60,6,68.4,52.64644351,5.884312202
171.7,88,42,369.9,14977,13.6,0,50.8,50.5,51.1,The East North Central Region,2.16,58.5,30.2,54.1,7.2,65.9,52.79664691,5.547054323
158.6,1214,406,479.1,258718,12,1213.676667,36.8,35.7,37.9,The East North Central Region,2.46,51.4,31.3,65.4,6.1,72.5,49.80425278,5.921762149
166.4,71,33,385.7,13192,10.5,151.6070346,45,45.1,44.9,The East North Central Region,2.29,59,42.5,64.7,3.7,73.4,54.08074857,7.17472119
190.1,103,50,399.2,15159,16.5,0,50.9,50.6,51.4,The East North Central Region,2.08,59,40,50.3,7.5,64.2,51.08041575,4.96054115
157.9,238,79,474.1,49762,5.9,0,39,38.4,39.8,The East North Central Region,2.66,62,33.8,69.4,3.1,84.1,62.98229565,4.330985915
160.1,356,123,482.4,63531,10.7,487.9507642,40.6,39.1,42,The East North Central Region,2.44,55.6,38.5,61.8,5.1,73.4,55.24062236,5.497771174
157.6,184,70,455.2,34445,16,0,37.1,36.4,38.4,The East North Central Region,2.65,58.2,43.3,61.2,4.8,56.6,57.41970774,9.86429301
176.6,323,123,476.1,56743,8.8,0,42,41.3,42.7,The East North Central Region,2.44,54.9,34.9,65,5.8,78.2,54.30466505,4.654466449
176.4,109,43,466.4,16391,14.7,122.0181807,45.9,44.2,47.1,The East North Central Region,2.38,52.3,42.7,55.6,6.5,67.4,51.27585686,5.300353357
153.8,2015,707,430.7,523643,13.4,129.8594653,34.6,33.7,35.6,The East North Central Region,2.35,47.5,19,69.5,4.9,82.5,45.26843317,4.458527742
178.9,463,201,437.3,88502,9.9,0,42,40.4,43.7,The East North Central Region,2.51,51.1,40.2,60.1,6,77.7,53.53820299,4.49736915
158.7,208,77,449.3,27554,11,1778.326196,51.7,50.2,53.2,The East North Central Region,2.11,62.6,32.9,55.6,6.2,75.8,56.50832819,4.481380181
192.8,187,104,354.7,43601,13.9,0,40.6,39.8,41.3,The East North Central Region,2.28,47.6,33.2,59.9,7,66.5,44.24412034,6.150455775
155.6,177,72,396.1,44497,13.9,0,34.1,33.4,35,The East North Central Region,2.48,47.6,34.6,62,6.1,72.4,51.38981814,5.116736739
163.4,454,177,440.9,102105,14.4,675.7749376,33.8,33,34.7,The East North Central Region,2.43,46.4,26.9,65.3,5.8,74.8,46.89544532,4.346348463
171.9,23,13,308.2,4464,12.8,0,51.1,50.8,51.3,The East North Central Region,2.32,59.9,39.2,51.1,7.2,68.9,57.93067227,3.462050599
159.4,579,206,477,101973,9.9,235.3564179,41,40.1,41.8,The East North Central Region,2.4,54.8,38.5,64.6,5.3,77.1,53.51968638,4.541733098
166.4,68,25,490.6,9057,17,4306.06161,45.3,44.4,46.4,The East North Central Region,2.33,52.8,40.7,47.6,10.1,59.8,51.39107612,7.250418293
166.9,257,108,428.2,52250,15,0,36.1,33.2,39.7,The East North Central Region,2.44,48.6,38.7,62.2,4.6,74.8,51.66349565,5.174434328
158.4,187,74,420,37186,8.7,0,42.2,41.3,43.2,The East North Central Region,2.47,56.7,39,67.6,3.5,78.2,55.2736352,5.46031746
152.3,89,32,447.2,17110,8.2,0,458.4,36.3,40.7,West North Central Region,2.46,58.1,29.5,63.4,3.5,83.4,60.49149338,9.675645959
169.9,29,15,356.1,5220,16,191.5708812,46.1,45.2,47.8,West North Central Region,2.29,56.5,31.1,61.2,1.4,64.9,52.45683931,5.360824742
187.4,20,10,400.6,3091,12.1,0,49.5,47.7,50.5,West North Central Region,2.21,61,42.3,62.2,3.1,75.6,53.95787945,7.992565056
138.2,16,10,221.5,5937,9.2,0,38.8,36.8,41.4,West North Central Region,2.61,62.7,35,68.3,2.6,76.1,61.73052088,5.678233438
120.2,40,13,432.5,5163,10.7,0,48.9,47.6,50.9,West North Central Region,2.15,67,37,54.1,1.7,74,59.54720205,6.35451505
215,30,14,453.6,7064,34,0,28.6,27.5,30.3,West North Central Region,3.3,40.9,35.5,54.1,14.4,39.9,41.69865643,8.467741935
156.3,24,12,350.1,4154,12.3,0,46,44.2,46.6,West North Central Region,2.21,64.2,42.6,67,1.4,70.5,56.87928308,5.01285347
159.2,104,39,431.4,20248,7.4,0,41.2,40.1,42.4,West North Central Region,2.48,63.5,31.1,68,1.4,82.4,62.95743092,5.725611099
142.1,39,15,392,9367,13.6,0,30.1,27.2,32.2,West North Central Region,2.33,53.9,20.5,66.8,3,82.7,58.74285714,5.981533521
162.7,31,12,495.5,3625,12.7,0,47.5,45.5,49,West North Central Region,2.31,57.2,36.1,56.7,4.7,69.1,54.25257732,3.524229075
164.7,72,33,389.2,13806,10.6,0,41.3,38.2,43.6,West North Central Region,2.31,56.5,32.6,65.5,2,77.4,55.1213419,6.993486459
211,1962.667684,62,453.5494221,24200,13.2,0,38.9,37.1,40.8,The Mountain States,2.51,51.6,35,48.4,11.9,63,49.69920844,7.724034496
167.7,1962.667684,3120,453.5494221,2114801,15.6,405.2390745,36.4,35.9,37,The Mountain States,2.78,44.6,28.8,57.7,10.8,62.9,43.81306543,5.125073246
145.2,1962.667684,108,453.5494221,47710,10.3,0,49.4,48.7,50,The Mountain States,2.37,58.9,24.7,51.5,8.5,70.7,56.13529501,5.193753615
143.2,1962.667684,55,453.5494221,51935,10.8,0,33.5,32.9,34.1,The Mountain States,2.87,56.6,26.8,67,5.5,73,57.82097649,6.700733537
262.1,1962.667684,4,453.5494221,829,14,0,46.5,43,47.5,The Mountain States,2.35,44.3,43.2,46,11.9,56.5,40.57971014,4.326923077
178.7,1962.667684,4,453.5494221,2016,9.8,0,43.9,44.9,42.6,The Mountain States,2.17,64.7,35.8,64,4.7,76.4,56.06258149,2.412868633
191.5,1962.667684,27,453.5494221,17019,10.7,0,35.3,34.9,35.4,The Mountain States,2.74,51.6,37.4,64.5,7.8,69.4,51.35794438,5.517423442
123.8,1962.667684,7,453.5494221,5903,11,0,37.2,36.4,37.6,The Mountain States,2.79,54.3,37.5,59.8,12,69.1,56.90633869,11.63179916
127.4,1962.667684,9,453.5494221,5036,15.1,0,37.4,37.3,38.1,The Mountain States,2.55,56.8,32.1,41,11.8,64.1,59.21402018,4.519774011
195.7,1962.667684,124,453.5494221,52585,13.7,0,43.2,43.1,43.4,The Mountain States,2.63,51.1,30.2,48.6,13.6,61.1,51.96681008,4.62962963
254.3,1962.667684,20,453.5494221,4478,19,0,48.7,48,49.2,The Mountain States,0.0225,41.8,31.2,48.1,15.4,58.1,34.42211055,9.518477044
213.5,1962.667684,154,453.5494221,42477,16.8,0,50.8,50.8,50.8,The Mountain States,0.0242,54.4,35.6,39.7,13.4,53.1,52.18339358,6.302577113
121.8,1962.667684,9,453.5494221,6634,18.5,0,41.3,39.5,44.1,The Mountain States,2.29,44.8,35.4,36.9,9.5,59.9,51.4162266,14.62113127
132.6,1962.667684,7,453.5494221,3987,8.4,0,54.7,54,55.6,The Mountain States,2.2,53.5,29.5,50.4,10.3,68.5,52.23542728,1.17820324
166,1962.667684,727,453.5494221,446903,15.4,170.0592746,37.6,36.8,38.4,The Mountain States,2.58,47,24,59.6,9.1,65.4,45.20183955,5.642578635
188.4,1962.667684,23,453.5494221,9811,13.7,0,39.4,38.4,40.3,The Mountain States,2.71,44.8,34.5,43.8,10.6,67.6,53.24756825,5.470459519
193.5,1962.667684,145,453.5494221,54521,19.3,36.68311293,42.6,41.2,44.4,The Mountain States,2.43,45.1,28.6,52.9,11.3,61.3,42.93785311,4.262413265
182.6,411,151,508.6,60641,10,329.8098646,46.1,45.3,46.8,New England,2.42,54.2,31.5,60.8,5.3,69.6,53.36016587,4.824422651
168.8,360,133,481.8,47285,10.7,0,50.3,49.3,51,New England,2.22,59.4,31.4,56.6,5.8,70,54.68263699,7.381867511
162.8,452,156,489.4,75909,11.8,13.17366847,42,41.4,42.5,New England,2.34,48.4,33.8,62.2,6.1,75,48.86415562,4.687933426
181.6,223,93,459.2,31212,14.9,32.03895937,48.1,46.7,49.5,New England,2.13,51.5,39.1,54.2,6.9,61.8,48.23214537,5.975049245
155,487,178,435.5,89320,11.6,78.36990596,41.9,40.5,43.1,New England,2.35,48.5,28.6,59.7,5,72.3,49.5875553,6.078496198
163.2,2075,694,482.2,406678,8.7,105.7347582,40.1,39.2,41.1,New England,2.55,51.4,27.2,66.1,5.9,76.7,51.98701098,5.055576216
173.1,879,309,507.6,147994,9.5,378.3937187,42.6,41.4,43.7,New England,2.49,51.5,28.4,62.9,5.2,76.3,53.12759016,3.901815696
172.2,1758,570,518.8,301777,6.1,72.90151337,43.5,42.6,44.3,New England,2.51,56.8,26.9,68,5.6,82.7,57.13535713,4.370734571
177.6,643,227,502.6,126825,11.8,94.61856889,37.2,36.1,38.3,New England,2.48,46.8,28,64.3,6.5,74.8,49.94167427,3.681800261
171.9,273,102,475.7,42967,10.4,0,45.1,44.4,46.3,New England,2.44,50.9,37,60.6,5.8,69.6,49.85074627,3.657874742
179.5,1624,584,505.5,274219,15.1,43.76064386,40.6,38.9,42,Mid-Atlantic Region,2.64,45.1,32.9,58,12.5,66.9,44.80543715,4.69661296
147.3,5164,1722,468.1,938506,7.6,330.3122196,41.5,40,42.9,Mid-Atlantic Region,2.73,54.2,24.3,61.4,6.5,75.5,56.4163314,4.077070131
171.6,2768,914,531.8,450226,7.2,446.4424533,41,39.2,42.6,Mid-Atlantic Region,2.66,50.8,29.5,61,8.5,81.4,53.74561974,4.910516481
182.8,2963,1039,530.9,510923,13,972.7493184,38.3,36.6,40.1,Mid-Atlantic Region,2.71,44.7,31.3,59.6,10.2,68.3,45.97396038,5.434939238
193.1,847,314,559.1,94727,13,179.4630887,48.3,46.7,49.9,Mid-Atlantic Region,2.3,53.4,34.1,53,10,72.1,51.14075027,5.43325019
189.6,847,317,511.3,155854,19.5,128.3252275,36.9,35.6,38.8,Mid-Atlantic Region,2.86,39.6,39.4,51,11.1,59.4,43.66264295,5.846434788
161.8,3553,1272,450.6,797434,16.7,137.9424504,36.9,35.4,38.4,Mid-Atlantic Region,2.77,39.1,28.7,57.7,13,59.9,39.00426129,5.084469955
193.5,1691,602,544.2,291479,8.2,106.3541456,39.6,38.2,40.8,Mid-Atlantic Region,2.74,51.7,34.3,61.3,9.2,78,55.37173438,4.878014043
152.6,2353,876,399.5,674836,17.7,1.481841514,34.7,33.8,35.6,Mid-Atlantic Region,2.63,41.5,26.1,62.7,9.3,56.5,38.47522277,5.344239425
145.1,731,210,496.3,125488,4.7,47.81333673,45,43.5,46.1,Mid-Atlantic Region,2.6,57.7,22.7,64,5.9,87.5,62.07381821,4.22223833
160.3,1997,648,504.7,371398,11.8,96.93105509,38.4,36.9,39.9,Mid-Atlantic Region,2.69,47.2,25.6,59.5,9.4,73.1,49.8130927,4.725836381
156.7,3980,1357,466.7,840900,8.3,89.19015341,37.7,36.6,38.9,Mid-Atlantic Region,2.85,51.6,26.3,60.4,7.5,74.6,55.65982883,5.074989438
168.6,3887,1269,529.6,628715,8.2,146.3302132,42.3,40.9,43.6,Mid-Atlantic Region,2.67,53.2,25.6,60.8,7.9,78.8,55.28066751,4.571872443
150.3,2795,884,488.5,499509,5,122.1199218,42,40.8,43.3,Mid-Atlantic Region,2.72,56.7,22.5,64.7,6.3,84,59.86962292,3.635690867
174.2,4355,1607,524.9,588721,11.9,62.84810632,42.8,40.4,45.1,Mid-Atlantic Region,2.59,53.6,36.1,53.6,8.8,70.9,53.40548509,6.13243835
159.1,2305,827,448.4,510916,18.2,60.67533606,36.5,35.1,37.9,Mid-Atlantic Region,3.09,44.3,34.8,57.8,8.6,55.8,48.72735839,4.533343875
194.8,415,164,516.6,64180,13.1,62.32471175,41.8,40.2,42.8,Mid-Atlantic Region,2.61,48.7,38.6,55.8,10.6,69.1,49.59953998,5.98109071
153.3,1673,549,471,333654,5,329.6828451,40.8,39.6,42,Mid-Atlantic Region,2.81,56.6,21.9,65,6,82.2,60.66311488,4.842990108
176.4,822,281,493.1,143673,6.2,132.2447502,43.4,42.5,44.2,Mid-Atlantic Region,2.67,55.9,31,64,8.2,80.9,59.78569177,4.625184917
155.6,2663,909,463,555786,11.1,25.18955137,38.1,36.5,39.5,Mid-Atlantic Region,2.91,46.5,29.7,62,9.8,65.9,49.27138445,5.746896424
175.1,623,227,485.9,106869,8.3,28.0717514,42.6,41.4,43.7,Mid-Atlantic Region,2.52,54.5,34,61.3,9,76.9,54.94516044,4.839230894
147.1,2820,1031,404.1,676685,18.7,294.0807022,36.5,35.2,37.9,The Mountain States,2.52,43.7,23.8,57.5,8.4,58.5,41.35260379,5.264795797
164.7,28,10,375.5,3456,22.2,0,57.1,55.5,58.7,The Mountain States,2.44,49.4,36.3,33.6,4.6,62.3,53.13626532,0.689655172
164.5,272,123,375.8,65764,23.4,0,34.8,32.9,36.7,The Mountain States,2.72,48.1,27,52.9,7.6,49.6,48.11288532,8.496374333
146.5,109,42,375.5,27329,28.8,0,36.2,35.2,37.8,The Mountain States,2.98,38.1,36.5,44.9,15.3,40.4,39.63436072,6.744769874
139.9,76,30,377.4,12414,20.5,0,47.6,46.9,48.4,The Mountain States,2.26,48.3,33.9,45.8,9.5,57.1,44.21204472,5.741042345
143.8,153,66,336.5,50398,19.2,0,30.7,29.3,32.9,The Mountain States,2.72,48.7,25.2,54,9.1,56.9,48.77216166,7.197033541
243.6,14,8,467.1,1828,20.6,0,47.3,51.2,45.9,The Mountain States,3.84,27.6,42.9,36.9,5.2,53.4,41.92307692,0
150.8,799,319,381,214295,27.9,111.9951469,32.4,31.1,34,The Mountain States,2.8,46.2,22,54,11.5,49.6,48.15681763,5.880465757
170.8,239,107,391.3,57578,14.1,0,36.5,35.3,37.7,The Mountain States,2.66,50.3,34,60.1,5.8,62.3,49.8110282,9.558702453
159.4,166,76,366.5,28609,19.1,454.4024608,46.5,44.6,48.1,The Mountain States,2.37,45.8,26.9,54.1,9.7,57,43.28457447,5.998550199
142.8,21,8,361.2,4371,25.8,0,41.6,40.9,41.9,The Mountain States,3.28,33.7,40.2,35,1.2,60.6,41.44295302,3.558718861
166.3,22,11,357,4423,24.5,678.2726656,41.8,40.6,42.4,The Mountain States,2.47,46.1,31,50,12.2,42.7,44.58424508,5.485232068
166.2,214,99,357.1,71180,16.6,0,31.8,31.5,32.2,The Mountain States,3.08,53.3,30.5,59.1,5.9,55.6,55.62963308,7.530333184
123.4,117,41,363.9,19420,20.1,1287.332647,50.4,48.4,51.1,The Mountain States,2.33,52.2,26.6,48.3,7.3,54.5,47.57636514,8.532518066
114.5,94,27,406.2,17785,4.2,0,43.5,41.8,45.1,The Mountain States,2.34,65.5,10.8,62.1,3.5,89.6,59.63230466,5.543652919
